ID;SKU;Permalink;_cost;_reference;_sref1;_sref2;"Regular Price";"Tax Class";Title
5954;AF00BD131625A;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/pet-16-x-13-6-bd-gag-25-m/;11,088;AF00BD131625A;;;23.95008;standard;"PET 16 X 13.6 BD  GaG / 25 M"
5955;AF00BD131650A;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/pet-16-x-13-6-bd-gag-50-m/;17,358;AF00BD131650A;;;37.49328;standard;"PET 16 X 13.6 BD  GaG / 50 M"
5956;AF02PRVE1500C;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/primabel-vert-o-15-25ml/;;;;;62.073;standard;"PRIMABEL VERT Ø 15  / 25ml"
5957;AF10CF927270G;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/coude-pp-pl-90-3-4-ff/;;;;;2.5146;standard;"COUDE PP PL 90°  3/4 FF"
5958;AF10MM272700G;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/mamelon-pp-pl-3-4-mm/;;;;;1.1088;standard;"MAMELON PP PL 3/4 MM"
5959;AF13CM916160G;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/coude-cannele-16/;0,3245;AF13CM916160G;;;0.7788;standard;"COUDE CANNELE 16"
5961;AF13MM162700G;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/emb-can-16-x-3-4-m/;0,275;AF13MM162700G;;;0.66;standard;"EMB CAN  16 x 3/4 M"
5962;AF13TM161600G;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/te-cannele-16/;0,3245;AF13TM161600G;;;0.7788;standard;"TE CANNELE 16"
5963;AF30BBI16160H;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/vanne-16-x-16-a-bague/;1,188;AF30BBI16160H;;;2.8512;standard;"VANNE 16 x 16  A BAGUE"
5965;AF30BFIP2700H;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/vanne-ff-pi-3-4-avec-purge/;6,05;AF30BFIP2700H;;;13.068;standard;"VANNE FF PI 3/4 AVEC PURGE"
5966;AF30BMM27160G;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/van-16-bague-x-3-4-m/;0,9735;AF30BMM27160G;;;2.3364;standard;"VAN.16 BAGUE x 3/4 M"
5967;AF50CM72S000K;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/capil-0-8x-3-2-0-7inox-100-le-paquet/;17,996;AF50CM72S000K;;;38.87136;standard;"CAPIL 0.8x 3.2 /0.7+INOX (100), LE PAQUET"
5968;AF50PIP12P00C;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/crampon-sol-marron-dripfix20-le-sachet/;3,6025;AF50PIP12P00C;;;7.7814;standard;"CRAMPON SOL MARRON DRIPFIX(20), LE SACHET"
5969;AF50VAR55ROT;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/vari-rotor-spray-spike-30-a-55cm/;2,189;AF50VAR55ROT;;;4.72824;standard;"VARI-ROTOR SPRAY SPIKE 30 à 55cm"
5970;AF51FTAZ2700J;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/filtre-modular-100-3-4p-130%c2%b5/;4,51;AF51FTAZ2700J;;;9.7416;standard;"FILTRE MODULAR 100  3/4P  130µ"
5971;AF702RBNR000M;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/prog-rb-nez-robinet/;;;;;65.3202;standard;"PROG RB NEZ ROBINET"
5972;AF81CSB16270C;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/collier-vis-tang-16-27-9mm/;0,3905;AF81CSB16270C;;;0.9372;standard;"COLLIER VIS TANG. 16-27 (9mm)"
5973;AF81CSC1S000C;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/cs-crante-16-plastique-100-la-piece/;14,5585;AF81CSC1S000C;;;31.44636;standard;"CS CRANTE 16 PLASTIQUE (100), LA PIECE"
5974;AF81EP025000K;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/emporte-piece-plast-2-5-cp/;6,644;AF81EP025000K;;;14.35104;standard;"EMPORTE PIECE PLAST 2.5 + CP"
5975;AF81PU001600C;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/purge-cannele-16/;2,024;AF81PU001600C;;;4.37184;standard;"PURGE CANNELE 16"
5976;AF81RAC02000C;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/nez-rob-claber-3-4-f/;0,8195;AF81RAC02000C;;;1.9668;standard;"NEZ ROB CLABER 3/4 F"
5977;AF81RAC08000C;https://www.jardinew.com/produit/culture-et-plantation/arrosage-irrigation/rac-auto-claber-15-ss-clapet/;1,32;AF81RAC08000C;;;3.168;standard;"RAC AUTO CLABER 15 SS CLAPET"
5979;BM65015.01;https://www.jardinew.com/produit/culture-et-plantation/semer-et-proteger/plaque-de-semis-recuperable-15-troues-noire/;2,7566;BM65015.01;;;8.2698;standard;"PLAQUE DE SEMIS RECUPERABLE 15 TROUES NOIRE"
5980;BM65054;https://www.jardinew.com/produit/culture-et-plantation/semer-et-proteger/plaque-de-semis-recuperable-54-troues-noire/;2,7566;BM65054;;;8.2698;standard;"PLAQUE DE SEMIS RECUPERABLE 54 TROUES NOIRE"
5984;COMPO2030002001;https://www.jardinew.com/produit/culture-et-plantation/engrais-mineraux/engrais-longue-duree-plantes-fleuries-et-plantes-vertes-10-5-206-seau-de-1-kg/;8,6188575;COMPO2030002001;;;25.856572;standard;"ENGRAIS LONGUE DURÉE  PLANTES FLEURIES ET PLANTES VERTES 10-5-20+6, SEAU DE 1 KG"
5985;DF32000;https://www.jardinew.com/produit/culture-et-plantation/terreaux/terre-de-bruyere-veritable-sac-de-70-litres/;7,48;DF32000;;;14.56356;standard;"TERRE DE BRUYERE VERITABLE, SAC DE 70 LITRES"
5986;DRM18358;https://www.jardinew.com/produit/culture-et-plantation/engrais-uab-bio/amendement-organique-b-guanorg-sac-de-25-kg-enrichi-en-fumier-de-cheval/;;;;;29.5625;standard;"AMENDEMENT ORGANIQUE B GUANORG, SAC DE 25 KG, ENRICHI EN FUMIER DE CHEVAL"
5988;EVD146.16;https://www.jardinew.com/produit/culture-et-plantation/semer-et-proteger/retenteur-deau-fertisorb-seau-de-4-kg/;30,1326663;EVD146.16;;;57.854719;standard;"RETENTEUR D'EAU FERTISORB, SEAU DE 4 KG"
5989;DSV347347;https://www.jardinew.com/produit/culture-et-plantation/semences-gazon/gazon-pro-rustique-premium-sac-de-10-kg/;25,3;DSV347347;;;38.962;standard;"GAZON PRO RUSTIQUE PREMIUM SAC DE 10 KG"
5990;DSV349479;https://www.jardinew.com/produit/culture-et-plantation/semences-gazon/gazon-pro-grands-espaces-sac-de-10-kg/;34,1;DSV349479;;;52.514;standard;"GAZON PRO GRANDS ESPACES, SAC DE 10 KG"
5992;DSV349485;https://www.jardinew.com/produit/culture-et-plantation/semences-gazon/gazon-pro-jardin-sac-de-10-kg/;35,75;DSV349485;;;55.055;standard;"GAZON PRO JARDIN, SAC DE 10 KG"
5993;DSV349496;https://www.jardinew.com/produit/culture-et-plantation/semences-gazon/gazon-pro-ornement-sac-de-10-kg/;37,62;DSV349496;;;57.9348;standard;"GAZON PRO ORNEMENT, SAC DE 10 KG"
5994;DSV347238;https://www.jardinew.com/produit/culture-et-plantation/semences-gazon/gazon-pro-rustique-sud-fr-sac-de-10-kg/;30,8;DSV347238;;;47.432;standard;"GAZON PRO RUSTIQUE SUD FR, SAC DE 10 KG"
5995;DSV347404;https://www.jardinew.com/produit/culture-et-plantation/semences-gazon/gazon-pro-regarnissage-hq-sac-de-10-kg/;32,45;DSV347404;;;49.973;standard;"GAZON PRO REGARNISSAGE HQ, SAC DE 10 KG"
6003;VIANPFTGR25;https://www.jardinew.com/produit/culture-et-plantation/engrais-mineraux/engrais-turfprof-green-boost-rc-miet-16-3-8bactpftgr25-sac-de-25kg/;26,95;VIANPFTGR25;;;58.212;standard;"ENGRAIS TURFPROF GREEN BOOST RC MIET 16-3-8+BACT(PFTGR25), SAC DE 25KG"
6015;CHAN10PLK020SOL;https://www.jardinew.com/produit/amenagement-exterieur/paillage-et-pierre/pro-mulch-chenevottes-chanvre-balle-de-200-litres-20-kg/;8,14;CHAN10PLK020SOL;;;18.8034;standard;"PRO MULCH CHENEVOTTES CHANVRE, BALLE DE 200 LITRES (-/+ 20 KG)"
6016;VEGALIN200L;https://www.jardinew.com/produit/amenagement-exterieur/paillage-et-pierre/lin-en-20-kg-anaslin-sac-de-200-litres/;4,235;VEGALIN200L;;;14.287619;standard;"LIN EN 20 KG , (ANASLIN) SAC DE 200 LITRES"
6019;ANC10103920010;https://www.jardinew.com/produit/amenagement-exterieur/bordures-et-dalles/bordure-droite-galva-2-m-x-100-mm-x-ep-2-mm-2-agrafes-incluses/;16,75245;ANC10103920010;;;36.185292;standard;"BORDURE DROITE GALVA 2 M X 100 MM X EP 2 MM, 2  AGRAFES INCLUSES"
6027;FAY000610044;https://www.jardinew.com/produit/amenagement-exterieur/amarre/amarre-a-percussion-fenox-avec-braquet/;5,38937666666666;FAY000610044;;;;standard;"AMARRE A PERCUSSION FENOX AVEC BRAQUET"
6028;FAY000610044-600-mm;https://www.jardinew.com/produit/amenagement-exterieur/amarre/amarre-a-percussion-fenox-avec-braquet/?attribute_pa_longueur=600-mm;5,38937666666666;FAY000610044;;;11.641054;standard;"AMARRE A PERCUSSION FENOX AVEC BRAQUET - 600 MM"
6029;FAY020610047;https://www.jardinew.com/produit/amenagement-exterieur/amarre/mandrin-pour-amarre-a-percussion-fenox/;13,497;FAY020610047;;;;standard;"MANDRIN POUR AMARRE A PERCUSSION FENOX"
6030;FAY020610047-600-mm;https://www.jardinew.com/produit/amenagement-exterieur/amarre/mandrin-pour-amarre-a-percussion-fenox/?attribute_pa_longueur=600-mm;13,497;FAY020610047;;;29.15352;standard;"MANDRIN POUR AMARRE A PERCUSSION FENOX - 600 MM"
6031;FAY001713044;https://www.jardinew.com/produit/amenagement-exterieur/amarre/plaque-de-pose-pour-amarre-a-percussion-fenox/;11,5258;FAY001713044;;;24.895728;standard;"PLAQUE DE POSE POUR AMARRE A PERCUSSION FENOX"
6053;PAPJARDEXTENDO;https://www.jardinew.com/produit/amenagement-exterieur/poteries-decorations/jardiniere-extendo-rectangulaire/;382,46065;PAPJARD1800;G932;;;standard;"JARDINIERE EXTENDO RECTANGULAIRE"
6054;PAPJARD1800-1780-x-600-h-800-mm-gris-anthracite-g932;https://www.jardinew.com/produit/amenagement-exterieur/poteries-decorations/jardiniere-extendo-rectangulaire/?attribute_pa_dimensions=1780-x-600-h-800-mm&attribute_pa_color=gris-anthracite-g932;382,46065;PAPJARD1800;G932;;611.680419;standard;"JARDINIERE EXTENDO RECTANGULAIRE - 1780 X 600 H 800 MM, Gris Anthracite G932"
6056;PAPMAXMIN;https://www.jardinew.com/produit/amenagement-exterieur/poteries-decorations/pot-boule-avec-reserve/;176,7194;PAPMINIMO-R;BL1984;;;standard;"POT BOULE AVEC RESERVE"
6057;PAPMAX-3-A-PM-o-1200-h-1150-aubergine-vl714;https://www.jardinew.com/produit/amenagement-exterieur/poteries-decorations/pot-boule-avec-reserve/?attribute_pa_dimensions=o-1200-h-1150&attribute_pa_color=aubergine-vl714;341,154;PAPMAXIMO-A;VL714;;549.55404;standard;"POT BOULE AVEC RESERVE - ø 1200 - H 1150, Aubergine VL714"
6058;PAPMAX-3-A-PM-o-1200-h-1150-bleu-azur-bl314;https://www.jardinew.com/produit/amenagement-exterieur/poteries-decorations/pot-boule-avec-reserve/?attribute_pa_dimensions=o-1200-h-1150&attribute_pa_color=bleu-azur-bl314;341,154;PAPMAXIMO-A;BL314;;549.55404;standard;"POT BOULE AVEC RESERVE - ø 1200 - H 1150, Bleu azur BL314"
6059;PAPMAX-3-A-PM-o-1200-h-1150-bleu-canard-bl1984;https://www.jardinew.com/produit/amenagement-exterieur/poteries-decorations/pot-boule-avec-reserve/?attribute_pa_dimensions=o-1200-h-1150&attribute_pa_color=bleu-canard-bl1984;341,154;PAPMAXIMO-A;BL1984;;549.55404;standard;"POT BOULE AVEC RESERVE - ø 1200 - H 1150, Bleu canard BL1984"
6060;PAPMAX-3-A-PM-o-1200-h-1150-bleu-cobalt-bl102;https://www.jardinew.com/produit/amenagement-exterieur/poteries-decorations/pot-boule-avec-reserve/?attribute_pa_dimensions=o-1200-h-1150&attribute_pa_color=bleu-cobalt-bl102;341,154;PAPMAXIMO-A;BL102;;549.55404;standard;"POT BOULE AVEC RESERVE - ø 1200 - H 1150, Bleu cobalt BL102"
